"","gameId","playId","ballCarrierId","ballCarrierDisplayName","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","passLength","playResult","absoluteYardlineNumber","offenseFormation","defendersInTheBox","passProbability","preSnapHomeTeamWinProbability","preSnapVisitorTeamWinProbability","homeTeamWinProbabilityAdded","visitorTeamWinProbilityAdded","expectedPoints","expectedPointsAdded","is_screen_pass","swarm","yardline_100","pass_location","air_yards","pass_length","yards_after_catch","yac_epa","xyac_epa","xyac_mean_yardage"
"1",2022090800,56,42489,"Stefon Diggs","(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).",1,1,10,"BUF","LA","BUF",25,"15:00",0,0,"C",5,6,85,"SHOTGUN",6,0.689960361,0.413346943,0.586653057,-3.12e-05,3.12e-05,1.298698674,0.004420402,0,3,75,"right",5,"short",1,0.290278603788465,0.499396776072307,3.92739437307318
"2",2022090800,122,47857,"Devin Singletary","(13:15) (Shotgun) J.Allen pass short right to D.Singletary to LA 49 for 6 yards (B.Wagner).",1,2,3,"BUF","LA","BUF",45,"13:15",0,0,"C",-3,6,65,"SHOTGUN",6,0.686938822,0.384969365,0.615030635,-0.019031707,0.019031707,2.689053073,0.399208847,0,3,55,"right",-3,"short",9,1.92180813336745,1.55458133878061,8.7581789817923
"3",2022090800,167,42489,"Stefon Diggs","(11:54) (Shotgun) J.Allen pass short middle to S.Diggs to LA 35 for 12 yards (L.Floyd).",1,2,8,"BUF","LA","LA",47,"11:54",0,0,"C",6,12,57,"EMPTY",6,0.903882027,0.387553591,0.612446409,-0.031869978,0.031869978,2.574206113,1.373440937,0,1,47,"middle",6,"short",6,1.14266322413459,0.87141840320743,4.66244666834245
"4",2022090800,212,52494,"Zack Moss","(10:42) (Shotgun) J.Allen pass short right to Z.Moss to LA 26 for 8 yards (B.Wagner).",1,2,9,"BUF","LA","LA",34,"10:42",0,0,"C",6,8,44,"SHOTGUN",6,0.880735636,0.359684918,0.640315082,-0.018238205,0.018238205,3.534322082,0.547352207,0,1,34,"right",6,"short",2,0.383768501342274,0.571102377775422,3.33100690622814
"5",2022090800,236,52536,"Gabe Davis","(10:03) J.Allen pass short right to G.Davis for 26 yards, TOUCHDOWN.",1,3,1,"BUF","LA","LA",26,"10:03",0,0,"C",15,26,36,"I_FORM",7,0.225846484,0.341446713,0.658553287,-0.063680924,0.063680924,4.081674289,2.918325711,0,1,26,"right",15,"short",11,1.82345075265039,0.460970690626703,3.5881442380778
"6",2022090800,364,44881,"Cooper Kupp","(8:25) (Shotgun) M.Stafford pass deep right to C.Kupp ran ob at LA 42 for 23 yards (J.Poyer).",1,3,8,"LA","BUF","LA",19,"8:25",0,7,"C",22,23,29,"SHOTGUN",6,0.980240405,0.251889708,0.748110292,0.062175455,-0.062175455,-0.666245977,3.124381494,0,2,81,"right",22,"deep",1,0.0322424941696227,0.367018918978378,5.62432195919973
"7",2022090800,438,53678,"Ben Skowronek","(6:48) M.Stafford pass short left to B.Skowronek pushed ob at BUF 43 for 4 yards (C.Benford).",1,1,10,"LA","BUF","BUF",47,"6:48",0,7,"C",-1,4,63,"SINGLEBACK",6,0.496193051,0.328491032,0.671508968,-0.004217234,0.004217234,3.158204283,-0.238343732,0,1,47,"left",-1,"short",5,0.598522086860612,0.995178245308576,7.7142602012027
"8",2022090800,486,44881,"Cooper Kupp","(5:53) (No Huddle, Shotgun) M.Stafford pass short right to C.Kupp to BUF 45 for 6 yards (J.Poyer).",1,3,14,"LA","BUF","LA",49,"5:53",0,7,"C",6,6,59,"EMPTY",5,0.972818732,0.27201245,0.72798755,-0.016077686,0.016077686,0.82571945,-1.041838478,0,3,51,"right",6,"short",0,0,0.806868060073388,4.16387900951668
"9",2022090800,569,42489,"Stefon Diggs","(3:46) (Shotgun) J.Allen pass short right to S.Diggs to BUF 25 for 10 yards (N.Scott).",1,3,4,"BUF","LA","BUF",15,"3:46",0,7,"C",8,10,95,"SHOTGUN",6,0.94371891,0.252112214,0.747887786,-0.025672609,0.025672609,-0.769597428,2.012058524,0,4,85,"right",8,"short",2,0.30103172827512,0.299850223081008,3.72321666370408
"10",2022090800,617,44985,"Isaiah McKenzie","(2:32) (Shotgun) J.Allen pass short left to I.McKenzie to BUF 48 for 12 yards (J.Ramsey).",1,1,10,"BUF","LA","BUF",36,"2:32",0,7,"C",12,12,74,"SHOTGUN",6,0.470424294,0.206512092,0.793487908,-0.002252482,0.002252482,1.964467567,0.741917429,0,1,64,"left",12,"short",0,0,0.211769663506544,3.3286751290143
